                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3417,                 3.1916,                 1.7116,                0.18615,                0.38108,                0.22652,                0.12716,                 1.4048,                 2.5879,                  2.036,             0.00027586,             0.00027586,             0.00027586
                      2,                 1.3046,                 2.5136,                 1.6565,                0.19892,                  0.462,                0.26421,                0.14083,                 1.5703,                 2.3044,                 2.1856,             0.00055079,             0.00055079,             0.00055079
                      3,                 1.3117,                 2.3297,                 1.6389,                0.25904,                0.27325,                0.23976,                0.11965,                 1.5463,                 2.3862,                 2.1464,             0.00082297,             0.00082297,             0.00082297
                      4,                  1.309,                 2.1315,                 1.6264,                 0.3005,                0.40161,                0.35216,                0.19324,                 1.5204,                 1.9017,                 2.0371,             0.00082063,             0.00082063,             0.00082063
                      5,                 1.2958,                 1.9868,                 1.6144,                0.40885,                0.40193,                0.40595,                0.22784,                 1.5131,                 1.9054,                 2.0576,             0.00081651,             0.00081651,             0.00081651
                      6,                  1.258,                 1.9038,                 1.5957,                0.48627,                0.34364,                0.36265,                0.21234,                 1.4437,                 1.8983,                 2.0621,             0.00081238,             0.00081238,             0.00081238
                      7,                 1.2502,                 1.7992,                 1.5674,                0.34921,                0.50126,                0.39969,                 0.2321,                  1.453,                 2.0142,                 2.0521,             0.00080826,             0.00080826,             0.00080826
                      8,                 1.2438,                  1.725,                 1.5711,                 0.3415,                0.55628,                0.47169,                 0.2785,                 1.3344,                 1.6239,                 1.8858,             0.00080414,             0.00080414,             0.00080414
                      9,                 1.2087,                 1.6666,                 1.5429,                0.36244,                0.48528,                0.42057,                 0.2526,                 1.4342,                 1.7624,                 1.9789,             0.00080001,             0.00080001,             0.00080001
                     10,                 1.1928,                 1.5998,                 1.5285,                0.42794,                0.46928,                0.44169,                0.27003,                 1.4473,                 1.8269,                 1.9414,             0.00079589,             0.00079589,             0.00079589
                     11,                 1.1839,                 1.5706,                 1.5218,                0.42026,                0.55126,                 0.5216,                0.31212,                 1.3809,                 1.4335,                  1.897,             0.00079177,             0.00079177,             0.00079177
                     12,                 1.1639,                 1.5164,                 1.4984,                0.48104,                0.43929,                0.45613,                0.28214,                 1.3173,                 1.7993,                 1.8442,             0.00078764,             0.00078764,             0.00078764
                     13,                 1.1477,                  1.481,                 1.5044,                0.50282,                0.55602,                0.49551,                0.30248,                 1.3535,                 1.5627,                 1.8696,             0.00078352,             0.00078352,             0.00078352
                     14,                 1.1488,                 1.4675,                 1.4847,                0.52228,                0.44267,                0.46291,                 0.2794,                 1.3376,                 1.6927,                 1.8554,              0.0007794,              0.0007794,              0.0007794
                     15,                 1.1458,                 1.4327,                 1.4957,                0.50526,                0.59859,                0.55131,                0.34738,                 1.3235,                 1.4074,                 1.8387,             0.00077527,             0.00077527,             0.00077527
                     16,                 1.1211,                 1.3843,                 1.4603,                0.53123,                0.51988,                0.53249,                0.34226,                  1.277,                  1.433,                 1.7943,             0.00077115,             0.00077115,             0.00077115
                     17,                 1.1162,                 1.3626,                 1.4576,                0.51277,                0.62159,                0.57063,                0.35155,                 1.3156,                 1.5108,                 1.8585,             0.00076703,             0.00076703,             0.00076703
                     18,                 1.0922,                 1.3347,                 1.4479,                0.44391,                0.63594,                0.55305,                0.35525,                 1.2685,                 1.5197,                 1.7718,              0.0007629,              0.0007629,              0.0007629
                     19,                 1.1048,                 1.3111,                 1.4554,                 0.5978,                0.51583,                0.55098,                0.34191,                 1.3041,                 1.4049,                 1.8594,             0.00075878,             0.00075878,             0.00075878
                     20,                 1.0972,                 1.2571,                 1.4487,                0.58048,                0.54222,                 0.5982,                0.37692,                 1.2845,                 1.3226,                 1.8028,             0.00075466,             0.00075466,             0.00075466
                     21,                 1.0667,                 1.2655,                  1.419,                0.57363,                0.55383,                0.56016,                   0.35,                 1.3522,                 1.5048,                  1.866,             0.00075053,             0.00075053,             0.00075053
                     22,                 1.0607,                  1.209,                  1.412,                0.64917,                0.55545,                0.60226,                0.38654,                  1.324,                 1.4188,                 1.8344,             0.00074641,             0.00074641,             0.00074641
                     23,                 1.0672,                 1.2088,                 1.4175,                 0.5777,                0.53621,                0.56949,                0.34282,                 1.3768,                 1.4298,                 1.8876,             0.00074229,             0.00074229,             0.00074229
                     24,                 1.0433,                 1.2026,                 1.4121,                0.64132,                 0.5413,                0.59535,                0.38397,                 1.2528,                 1.3029,                 1.7897,             0.00073816,             0.00073816,             0.00073816
                     25,                 1.0435,                 1.1744,                 1.4052,                0.70846,                0.59086,                0.61811,                0.40488,                 1.2823,                 1.3384,                 1.7908,             0.00073404,             0.00073404,             0.00073404
                     26,                 1.0387,                 1.1341,                 1.4006,                0.72334,                0.56009,                0.64362,                0.41028,                 1.2938,                 1.3194,                 1.7836,             0.00072992,             0.00072992,             0.00072992
                     27,                  1.045,                 1.1302,                 1.3942,                0.57612,                0.57299,                 0.5771,                0.37609,                 1.2644,                 1.3613,                  1.781,             0.00072579,             0.00072579,             0.00072579
                     28,                  1.033,                 1.0885,                 1.3855,                0.55462,                0.49354,                0.53688,                 0.3375,                 1.2916,                 1.4402,                  1.793,             0.00072167,             0.00072167,             0.00072167
                     29,                 1.0088,                 1.0742,                 1.3831,                0.63334,                0.56895,                0.62096,                0.39492,                 1.2927,                  1.294,                  1.801,             0.00071755,             0.00071755,             0.00071755
                     30,                0.99271,                   1.04,                 1.3675,                0.59395,                0.55478,                0.58721,                0.38356,                 1.2491,                 1.4741,                 1.7561,             0.00071342,             0.00071342,             0.00071342
                     31,                0.97933,                 1.0451,                 1.3607,                0.60582,                0.56061,                0.59763,                 0.3722,                 1.3358,                 1.4053,                 1.8718,              0.0007093,              0.0007093,              0.0007093
                     32,                0.99922,                 1.0499,                 1.3669,                0.58172,                0.62555,                0.62809,                0.40236,                 1.3387,                 1.4243,                 1.8507,             0.00070518,             0.00070518,             0.00070518
                     33,                0.98889,                 1.0351,                 1.3651,                0.63135,                0.62257,                0.62275,                0.39941,                  1.268,                 1.3465,                 1.8029,             0.00070105,             0.00070105,             0.00070105
                     34,                0.99298,                 1.0059,                 1.3626,                0.67662,                  0.589,                0.62629,                0.40575,                 1.2979,                 1.3504,                 1.8161,             0.00069693,             0.00069693,             0.00069693
                     35,                0.97286,                0.98784,                 1.3423,                0.67951,                0.55365,                0.61891,                0.41223,                 1.2741,                 1.3021,                 1.8024,             0.00069281,             0.00069281,             0.00069281
                     36,                0.96524,                0.96609,                 1.3357,                0.67188,                0.58697,                0.61937,                0.40227,                 1.3231,                 1.3554,                 1.8352,             0.00068868,             0.00068868,             0.00068868
                     37,                0.95271,                0.96133,                 1.3309,                0.63674,                0.51793,                0.58358,                0.37427,                 1.3068,                 1.3403,                 1.8612,             0.00068456,             0.00068456,             0.00068456
                     38,                0.95047,                0.97478,                 1.3409,                0.58044,                0.61087,                0.60643,                0.38341,                 1.3554,                 1.3934,                 1.8932,             0.00068044,             0.00068044,             0.00068044
                     39,                0.95437,                0.94721,                  1.328,                0.65368,                0.60825,                0.65379,                  0.404,                 1.3144,                 1.2743,                 1.8539,             0.00067631,             0.00067631,             0.00067631
                     40,                0.95367,                0.92252,                 1.3218,                0.72006,                0.56886,                0.62342,                 0.3987,                 1.3405,                 1.3961,                 1.8764,             0.00067219,             0.00067219,             0.00067219
                     41,                0.92769,                0.91761,                 1.3162,                 0.6607,                0.57143,                 0.5987,                0.38982,                 1.3283,                 1.4318,                 1.8792,             0.00066807,             0.00066807,             0.00066807
                     42,                0.93121,                0.90325,                  1.315,                0.72771,                0.58757,                0.63381,                0.40243,                 1.3406,                 1.3641,                 1.8738,             0.00066394,             0.00066394,             0.00066394
                     43,                0.91067,                0.88867,                 1.3111,                0.62645,                0.62099,                0.63303,                0.39911,                 1.3454,                 1.3319,                 1.8751,             0.00065982,             0.00065982,             0.00065982
                     44,                0.93234,                0.89816,                 1.3116,                0.66123,                0.60728,                0.61986,                0.40662,                 1.3304,                 1.2826,                 1.8813,              0.0006557,              0.0006557,              0.0006557
                     45,                0.93181,                0.88709,                 1.3018,                0.60774,                0.60953,                0.59124,                0.37405,                 1.3403,                 1.3708,                 1.8476,             0.00065157,             0.00065157,             0.00065157
                     46,                0.89203,                0.87412,                 1.2808,                0.69756,                0.58661,                0.63552,                0.39898,                 1.3211,                 1.3055,                 1.8686,             0.00064745,             0.00064745,             0.00064745
                     47,                0.89509,                0.84129,                 1.2828,                0.70497,                0.63635,                0.68703,                0.44598,                 1.2927,                 1.2607,                 1.8436,             0.00064333,             0.00064333,             0.00064333
                     48,                0.88861,                0.84834,                 1.2804,                0.63451,                0.59384,                 0.6279,                0.40637,                 1.2838,                 1.2804,                 1.8428,              0.0006392,              0.0006392,              0.0006392
                     49,                0.88428,                0.84709,                 1.2896,                0.67575,                 0.5348,                0.59448,                0.37795,                 1.3359,                  1.403,                 1.9205,             0.00063508,             0.00063508,             0.00063508
                     50,                0.88657,                 0.8202,                 1.2771,                0.69116,                0.56756,                0.62383,                0.38335,                 1.3687,                   1.26,                 1.9328,             0.00063096,             0.00063096,             0.00063096
                     51,                0.88813,                0.81325,                 1.2798,                0.71234,                0.56871,                 0.6294,                0.39942,                  1.298,                 1.3377,                  1.844,             0.00062683,             0.00062683,             0.00062683
                     52,                0.86914,                0.81315,                   1.28,                0.64475,                 0.6138,                0.61115,                0.39278,                 1.3188,                 1.3823,                 1.8765,             0.00062271,             0.00062271,             0.00062271
                     53,                0.85959,                0.81706,                 1.2691,                0.67261,                0.64526,                0.65581,                0.41353,                 1.3513,                 1.2878,                 1.9488,             0.00061859,             0.00061859,             0.00061859
                     54,                0.86115,                0.79543,                 1.2587,                0.59942,                 0.6027,                0.62937,                0.38712,                 1.3598,                 1.2964,                 1.9336,             0.00061446,             0.00061446,             0.00061446
                     55,                0.84956,                 0.7844,                 1.2613,                0.70926,                0.59891,                0.64446,                0.41278,                 1.3409,                 1.2749,                 1.8952,             0.00061034,             0.00061034,             0.00061034
                     56,                0.84289,                0.78822,                 1.2507,                0.69967,                0.55779,                0.63519,                0.41386,                  1.326,                 1.3536,                 1.9224,             0.00060622,             0.00060622,             0.00060622
                     57,                0.86272,                 0.7895,                 1.2628,                0.80029,                0.56071,                0.66167,                0.41861,                 1.3324,                 1.3982,                 1.9137,             0.00060209,             0.00060209,             0.00060209
                     58,                0.86254,                0.78398,                 1.2651,                 0.6792,                0.57279,                0.62268,                0.41175,                 1.3199,                  1.505,                 1.9041,             0.00059797,             0.00059797,             0.00059797
                     59,                0.84696,                0.77916,                 1.2547,                0.69198,                0.58488,                0.62322,                0.39421,                 1.3007,                 1.3232,                 1.8528,             0.00059385,             0.00059385,             0.00059385
                     60,                0.84436,                0.76367,                 1.2503,                0.70719,                0.55058,                0.62308,                0.39288,                 1.3077,                   1.34,                 1.9103,             0.00058972,             0.00058972,             0.00058972
                     61,                 0.8216,                0.75295,                  1.239,                0.75677,                0.58711,                  0.667,                 0.4244,                 1.2883,                 1.3136,                 1.8716,              0.0005856,              0.0005856,              0.0005856
                     62,                0.84526,                0.74787,                 1.2484,                0.67814,                0.61134,                0.65938,                0.43017,                 1.2994,                 1.2559,                 1.8732,             0.00058148,             0.00058148,             0.00058148
                     63,                0.82293,                0.73576,                 1.2367,                0.68343,                0.62452,                0.66202,                0.42658,                 1.3214,                 1.3111,                 1.8916,             0.00057735,             0.00057735,             0.00057735
                     64,                0.82706,                0.75357,                 1.2449,                0.69421,                0.56497,                0.61852,                0.39884,                 1.3567,                 1.2955,                 1.9848,             0.00057323,             0.00057323,             0.00057323
                     65,                0.81829,                0.73915,                 1.2384,                0.65186,                0.61799,                0.65757,                 0.4254,                 1.3025,                 1.2071,                  1.904,             0.00056911,             0.00056911,             0.00056911
                     66,                0.81002,                0.72392,                 1.2295,                0.69404,                 0.5707,                 0.6351,                0.40229,                 1.3319,                 1.3406,                 1.9274,             0.00056498,             0.00056498,             0.00056498
                     67,                0.80884,                0.72416,                 1.2234,                0.63455,                0.62263,                0.66469,                0.42746,                 1.3337,                 1.2607,                 1.9027,             0.00056086,             0.00056086,             0.00056086
                     68,                0.81443,                0.70812,                 1.2296,                0.66488,                0.60691,                0.62996,                0.40858,                 1.3158,                 1.2875,                 1.8986,             0.00055674,             0.00055674,             0.00055674
                     69,                 0.8042,                0.71507,                 1.2223,                0.75685,                 0.5374,                0.61183,                0.38891,                 1.3075,                 1.2971,                 1.9074,             0.00055261,             0.00055261,             0.00055261
                     70,                0.80304,                0.72688,                 1.2247,                0.69981,                0.58069,                0.65577,                0.41916,                  1.299,                 1.2676,                 1.8646,             0.00054849,             0.00054849,             0.00054849
                     71,                 0.7958,                0.70408,                 1.2236,                0.71884,                0.54459,                0.61909,                0.39326,                 1.3224,                 1.3484,                 1.8938,             0.00054437,             0.00054437,             0.00054437
                     72,                0.79116,                0.69532,                  1.215,                0.74695,                0.56764,                0.64971,                0.42031,                 1.3072,                 1.3188,                 1.9087,             0.00054024,             0.00054024,             0.00054024
                     73,                 0.7804,                0.69267,                 1.2107,                0.61676,                0.63772,                0.62771,                0.39988,                 1.3172,                 1.3382,                 1.8981,             0.00053612,             0.00053612,             0.00053612
                     74,                0.78476,                0.68783,                 1.2168,                0.67771,                0.57853,                0.60953,                0.38733,                 1.3466,                 1.3067,                  1.949,               0.000532,               0.000532,               0.000532
                     75,                0.77577,                0.66791,                 1.2094,                0.64566,                0.59923,                0.62253,                0.40351,                 1.3004,                 1.2708,                 1.8672,             0.00052787,             0.00052787,             0.00052787
                     76,                0.77031,                0.68166,                 1.2041,                0.67224,                0.60811,                 0.6601,                0.41751,                 1.3136,                 1.2406,                 1.9157,             0.00052375,             0.00052375,             0.00052375
                     77,                0.76813,                 0.6789,                  1.201,                0.75068,                0.50846,                0.63639,                0.41273,                 1.2955,                 1.2584,                 1.9014,             0.00051963,             0.00051963,             0.00051963
                     78,                0.76617,                0.67058,                 1.2003,                0.72058,                0.58565,                0.63465,                0.40403,                 1.2908,                 1.2738,                 1.8962,              0.0005155,              0.0005155,              0.0005155
                     79,                 0.7621,                0.65429,                 1.2001,                0.68532,                0.58227,                0.62802,                 0.3939,                  1.313,                 1.3495,                 1.9482,             0.00051138,             0.00051138,             0.00051138
                     80,                0.76153,                0.63945,                 1.1927,                0.67728,                0.60985,                0.64689,                0.41024,                 1.3601,                 1.3092,                 1.9305,             0.00050726,             0.00050726,             0.00050726
                     81,                0.77098,                0.65856,                 1.1917,                0.61812,                0.62105,                0.64971,                0.40838,                 1.3426,                 1.3007,                 1.9507,             0.00050313,             0.00050313,             0.00050313
                     82,                0.76845,                0.65126,                 1.2093,                0.64455,                0.63274,                 0.6549,                0.42242,                 1.2952,                   1.32,                 1.9246,             0.00049901,             0.00049901,             0.00049901
                     83,                0.75961,                0.64668,                 1.1936,                 0.6354,                0.60197,                0.63749,                0.41074,                 1.3394,                 1.2733,                 1.9404,             0.00049489,             0.00049489,             0.00049489
                     84,                 0.7468,                 0.6431,                 1.1858,                0.68903,                0.59693,                0.65124,                0.41113,                 1.3318,                 1.3309,                 1.9261,             0.00049076,             0.00049076,             0.00049076
                     85,                0.74114,                 0.6383,                 1.1858,                 0.6882,                0.56732,                0.64594,                0.40363,                 1.3416,                 1.2343,                 1.9488,             0.00048664,             0.00048664,             0.00048664
                     86,                0.74686,                0.64578,                 1.1911,                0.65486,                0.62791,                0.65963,                0.42496,                 1.2793,                 1.2662,                  1.874,             0.00048252,             0.00048252,             0.00048252
                     87,                0.73933,                0.62576,                 1.1709,                0.72194,                0.56231,                0.62133,                0.39657,                 1.3005,                 1.2992,                 1.9199,             0.00047839,             0.00047839,             0.00047839
                     88,                0.72504,                0.62272,                 1.1789,                 0.7444,                0.54403,                0.61581,                0.39189,                 1.2884,                 1.3086,                 1.9159,             0.00047427,             0.00047427,             0.00047427
                     89,                0.74182,                 0.6357,                 1.1813,                0.63008,                0.62959,                 0.6238,                0.39967,                 1.3307,                 1.2582,                 1.9547,             0.00047015,             0.00047015,             0.00047015
                     90,                 0.7258,                0.61644,                 1.1734,                0.73369,                0.59692,                0.67221,                0.41699,                 1.3237,                 1.2368,                 1.9291,             0.00046602,             0.00046602,             0.00046602
                     91,                0.73688,                0.61458,                 1.1702,                0.64354,                0.63558,                0.65761,                0.41527,                 1.3511,                 1.2656,                      2,              0.0004619,              0.0004619,              0.0004619
                     92,                0.73308,                 0.6211,                 1.1676,                0.74958,                0.56229,                0.63322,                0.40303,                 1.3313,                 1.2861,                   1.96,             0.00045778,             0.00045778,             0.00045778
                     93,                0.72725,                0.60858,                 1.1733,                0.77392,                0.60172,                0.66774,                0.41599,                 1.3266,                 1.2434,                 1.9714,             0.00045365,             0.00045365,             0.00045365
                     94,                0.72246,                0.61496,                 1.1649,                0.67818,                0.62233,                0.63748,                0.40737,                 1.2975,                  1.296,                 1.9222,             0.00044953,             0.00044953,             0.00044953
                     95,                0.72546,                0.60262,                 1.1711,                0.78233,                0.56584,                0.64177,                0.40415,                 1.3221,                  1.252,                 1.9331,             0.00044541,             0.00044541,             0.00044541
                     96,                0.71983,                0.60656,                 1.1682,                0.70308,                0.61235,                0.64789,                0.40889,                 1.3109,                 1.2536,                 1.9171,             0.00044128,             0.00044128,             0.00044128
                     97,                0.72913,                0.60964,                 1.1676,                0.73594,                0.59543,                0.65628,                0.42102,                 1.3307,                 1.2553,                 1.9692,             0.00043716,             0.00043716,             0.00043716
                     98,                0.70368,                0.59218,                 1.1559,                0.65505,                0.62242,                0.64336,                0.41946,                 1.3206,                 1.2598,                 1.9531,             0.00043304,             0.00043304,             0.00043304
                     99,                0.70093,                0.57943,                 1.1457,                0.75787,                0.58232,                0.64019,                0.40203,                 1.3627,                 1.3091,                  1.991,             0.00042891,             0.00042891,             0.00042891
